Order,variable,domain,type,stat_label,question,PRG,DSA,LIB,SD,STY,CTR,REF,CON,NAT,SD/LIB,SD/STY,STY/SD,LIB/CTR,SD/CTR,SD/CON,CON/SD,STY/CON,CON/STY,STY/REF,CON/CTR,REF/STY,CON/REF,CON/NAT,Max,Mid,Low
41,CC24_444f,Civil Liberties,binary,% Supporting,School voucher subsidies,11.9711,33.7039,26.5249,44.454,61.4132,65.6888,71.3714,70.5407,86.9864,35.4894,50.0777,52.9336,42.1905,55.0714,56.9547,58.9191,65.1345,66.7071,65.8944,68.712,67.6978,70.7982,78.5991,,,
42,CC24_326a,Environment & Climate,binary,% Supporting,Give EPA power to regulate CO2 emissions,98.6686,96.8977,95.241,88.7817,67.2327,63.453,31.6727,39.213,4.9293,92.0113,81.6361,78.0072,82.5258,76.1174,65.0284,61.2959,55.8091,50.9813,51.2307,48.3491,44.7908,36.8755,22.414,,,
43,CC24_326b,Environment & Climate,binary,% Supporting,Require 20% renewable electricity,98.0185,96.9976,94.3359,90.3056,76.5382,67.4679,39.5961,44.5249,8.9909,92.3208,85.7403,83.4219,83.5887,78.8868,68.3675,64.9202,63.4864,57.9705,59.9143,53.1721,53.224,42.997,27.1132,,,
44,CC24_326c,Environment & Climate,binary,% Supporting,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),97.0091,93.13,90.4664,77.0459,62.6317,51.2673,26.8186,29.6793,4.3782,83.7561,72.2662,69.8388,74.7868,64.1566,54.3478,50.7811,49.197,43.5193,46.5158,37.8158,40.0301,28.7925,17.2818,,,
45,CC24_326d,Environment & Climate,binary,% Supporting,Increase fossil fuel production in the U.S.,8.1938,10.0169,25.9202,36.3858,50.0336,70.3257,74.0844,85.0649,96.3562,31.153,40.9114,43.2097,43.6824,53.3558,59.7128,63.3784,64.3159,70.3518,60.8565,79.5097,65.2121,81.6609,90.5976,,,
46,CC24_326e,Environment & Climate,binary,% Supporting,Halt new oil and gas leases on federal lands,89.476,87.6893,74.3598,65.6536,50.8046,38.5447,20.9991,19.5656,3.2241,70.0067,60.7297,58.2291,60.0338,52.0991,43.5682,40.0978,38.0685,32.686,37.3921,26.7188,31.9943,20.01,11.5583,,,
47,CC24_326f,Environment & Climate,binary,% Supporting,Prevent government from banning gas stoves,36.8299,44.1319,56.6433,61.4964,62.1408,71.5926,77.1006,78.2704,90.4861,59.0699,61.7101,61.8186,62.623,66.5445,69.5345,70.7976,68.7168,71.496,68.8727,75.7535,71.5819,77.9078,84.2561,,,
48,CC24_328a,Healthcare & Housing,binary,% Supporting,Relax local zoning laws to allow more apartments/condos,69.6332,52.8005,63.0486,55.0034,54.3716,51.2787,40.223,41.7546,34.7906,59.026,54.7939,54.6875,58.3406,53.141,48.6546,47.6569,49.2276,47.0537,48.0047,45.3442,45.4424,41.2798,38.3422,,,
49,CC24_328b,Healthcare & Housing,binary,% Supporting,Expand federal tax incentives for affordable housing,96.6631,95.9166,92.8938,86.792,78.9586,72.9798,53.0424,59.6047,32.6072,89.8429,84.1944,82.8753,84.9282,79.8859,73.7638,71.7166,71.068,67.7333,67.2963,64.6458,62.6029,57.5704,46.3759,,,
50,CC24_328c,Healthcare & Housing,binary,% Supporting,Require able-bodied Medicaid recipients under 64 to work,17.1894,22.0528,40.1937,44.5384,49.3468,58.7486,58.3849,69.5243,72.7547,42.3661,46.1329,46.9426,47.6157,51.6435,56.5116,58.3931,57.5732,61.0498,53.4139,65.4629,55.0507,66.0711,71.1072,,,
51,CC24_328d,Healthcare & Housing,binary,% Supporting,Repeal the Affordable Care Act,1.4684,3.5629,5.0445,15.0659,33.492,41.3864,67.1593,62.1169,85.7204,10.0552,21.176,24.2789,19.5813,28.2262,37.6127,41.1557,45.1624,50.0944,48.6423,54.3036,54.7394,63.68,73.6826,,,
52,CC24_328e,Healthcare & Housing,binary,% Supporting,Expand Medicaid (income <$25k individual / <$40k family),99.3276,98.7615,95.4068,93.4622,84.2906,79.1274,65.8631,67.2118,38.0257,94.4345,90.4209,88.8764,88.895,86.2948,80.883,78.9064,77.3276,74.3849,75.9982,71.7028,72.661,66.7937,52.9106,,,
53,CC24_440a,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",White people have certain advantages because of their race,1.2172,1.2612,1.6061,1.912,2.3041,2.9772,3.6628,3.5336,4.3596,1.7591,2.042,2.108,2.1545,2.4446,2.6891,2.8112,2.8054,3.0172,2.9155,3.3239,3.1616,3.5737,3.9383,,,
286,CC24_440a,Racial & Gender,binary_agree,% Agreeing,White people have certain advantages because of their race,98.27,97.7,88.74,79.21,60.53,41.8,21.57,22.18,4.01,83.975,73.0157,69.87,69.964,60.505,51.8812,47.5869,44.8947,38.287,42.998,29.5747,35.9424,21.9909,13.2767,,,
59,CC24_440b,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)","Racial problems in the U.S. are rare, isolated situations",4.7779,4.7575,4.3917,4.0527,3.612,3.1414,2.7983,2.9101,1.9846,4.2222,3.9066,3.8323,3.8916,3.597,3.5052,3.4191,3.3258,3.2049,3.2458,2.9973,3.0985,2.8754,2.4566,,,
287,CC24_440b,Racial & Gender,binary_agree,% Agreeing,"Racial problems in the U.S. are rare, isolated situations",0,0.04,2.03,8.8,18.75,34.35,45.28,41.11,74.61,5.415,12.0994,13.775,14.958,21.575,24.2829,26.7159,27.8662,31.7188,30.6885,38.5622,35.4931,42.4027,57.525,,,
