diagnostic,phase,candidate_code,candidate_name,raw_votes,vote_pct,status,pod,votes_from_pod,pod_total_votes,pct_of_pod,finalist_national_total,pct_of_finalist_total,straddler_code,straddler_name,platonic_code,platonic_name,platonic_secondary_code,straddler_pct,platonic_pct,platonic_secondary_pct,delta_vs_primary,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Retail_Six,surplus,CON_REF,CON/REF,21.7452,10.72,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Retail_Six,surplus,SD_STY,SD/STY,16.4825,8.13,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_REF,STY/REF,After_Retail_Six,surplus,ZN,DSA,1.739,0.86,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_SD,STY/SD,After_Pod_A,surplus,SD_STY,SD/STY,44.486,3.82,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_SD,STY/SD,After_Pod_A,surplus,MW,SD,17.14,1.47,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_SD,STY/SD,After_Pod_A,surplus,SD_CON,SD/CON,12.2338,1.05,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_SD,STY/SD,After_Pod_C,elimination,CON_STY,CON/STY,667.573,34.39,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_SD,STY/SD,After_Pod_C,elimination,MW,SD,414.4575,21.35,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_SD,STY/SD,After_Pod_C,elimination,SD_CTR,SD/CTR,259.7098,13.38,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_SD,STY/SD,After_Retail_Six,surplus,SD_STY,SD/STY,0.5198,0.32,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_SD,STY/SD,After_Retail_Six,surplus,MW,SD,0.3534,0.22,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,STY_SD,STY/SD,After_Retail_Six,surplus,REF_STY,REF/STY,0.3519,0.21,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,ZN,DSA,After_Pod_A,elimination,MW,SD,185.6319,25.11,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,ZN,DSA,After_Pod_A,elimination,CO,LIB,174.979,23.67,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,ZN,DSA,After_Pod_A,elimination,STY_SD,STY/SD,150.5673,20.37,,,,,,,,,,
