variable,domain,type,stat_label,question,overall,CON,SD,STY,REF,CTR,LIB,CON/CTR,CON/SD,CON/STY,SD/STY,SD/CON,SD/CTR,SD/LIB,STY/REF,STY/SD,STY/CON,REF/STY,CON/REF,CON/NAT,LIB/CTR,REF/SD,CTR/LIB,PRG/DSA,cond_chamber,irv_chamber,cond_pure_chamber,irv_pure_chamber,cond_bloc1,cond_bloc2,cond_bloc3,cond_bloc4,irv_bloc1,irv_bloc2,irv_bloc3,irv_bloc4
CC24_326e,Environment & Climate,binary,% Supporting,Halt new oil and gas leases on federal lands,44.7229,19.5656,65.6536,50.8046,20.9991,38.5447,74.3598,26.7188,40.0978,32.686,60.7297,43.5682,52.0991,70.0067,37.3921,58.2291,38.0685,31.9943,20.01,11.5583,60.0338,41.0936,56.4523,88.94,43.7354,44.0757,45.7601,42.0677,37.3921,30.7227,56.9124,66.7419,19.8434,34.3674,34.1898,62.9997
CC24_326f,Environment & Climate,binary,% Supporting,Prevent government from banning gas stoves,67.4904,78.2704,61.4964,62.1408,77.1006,71.5926,56.6433,75.7535,70.7976,71.496,61.7101,69.5345,66.5445,59.0699,68.8727,61.8186,68.7168,71.5819,77.9078,84.2561,62.623,70.0787,64.118,39.0205,68.4066,68.2185,67.8583,69.3417,68.8727,73.7059,61.8758,60.8898,78.0438,70.5956,72.9878,61.4717
CC24_328a,Healthcare & Housing,binary,% Supporting,Relax local zoning laws to allow more apartments/condos,50.2392,41.7546,55.0034,54.3716,40.223,51.2787,63.0486,45.3442,47.6569,47.0537,54.7939,48.6546,53.141,59.026,48.0047,54.6875,49.2276,45.4424,41.2798,38.3422,58.3406,46.8742,57.1636,64.5834,49.788,49.9489,51.1562,49.6782,48.0047,45.4973,54.6315,56.009,41.4578,47.5745,46.6662,55.1303
CC24_328b,Healthcare & Housing,binary,% Supporting,Expand federal tax incentives for affordable housing,72.447,59.6047,86.792,78.9586,53.0424,72.9798,92.8938,64.6458,71.7166,67.7333,84.1944,73.7638,79.8859,89.8429,67.2963,82.8753,71.068,62.6029,57.5704,46.3759,84.9282,68.2297,82.9368,96.4392,73.7983,73.9937,75.7341,72.9984,67.2963,65.8572,82.1806,87.5547,58.3333,68.2162,68.6106,85.4391
CC24_328c,Healthcare & Housing,binary,% Supporting,Require able-bodied Medicaid recipients under 64 to work,53.2651,69.5243,44.5384,49.3468,58.3849,58.7486,40.1937,65.4629,58.3931,61.0498,46.1329,56.5116,51.6435,42.3661,53.4139,46.9426,57.5732,55.0507,66.0711,71.1072,47.6157,52.154,49.4712,18.6484,55.1613,54.8808,54.3415,55.8799,53.4139,62.2776,47.369,43.9953,67.366,59.1977,61.5114,45.3501
CC24_328d,Healthcare & Housing,binary,% Supporting,Repeal the Affordable Care Act,38.4834,62.1169,15.0659,33.492,67.1593,41.3864,5.0445,54.3036,41.1557,50.0944,21.176,37.6127,28.2262,10.0552,48.6423,24.2789,45.1624,54.7394,63.68,73.6826,19.5813,43.7173,23.2154,2.0968,38.3569,38.0057,35.7447,39.822,48.6423,51.4646,25.9129,13.8132,63.0938,49.0304,46.9514,18.3836
CC24_328e,Healthcare & Housing,binary,% Supporting,Expand Medicaid (income <$25k individual / <$40k family),78.6882,67.2118,93.4622,84.2906,65.8631,79.1274,95.4068,71.7028,78.9064,74.3849,90.4209,80.883,86.2948,94.4345,75.9982,88.8764,77.3276,72.661,66.7937,52.9106,88.895,78.2827,87.2671,99.1578,80.6545,80.7801,82.2741,80.0283,75.9982,73.4115,88.0631,93.7053,66.9505,75.1442,75.7337,91.7157
CC24_440a,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",White people have certain advantages because of their race,2.6905,3.5336,1.912,2.3041,3.6628,2.9772,1.6061,3.3239,2.8112,3.0172,2.042,2.6891,2.4446,1.7591,2.9155,2.108,2.8054,3.1616,3.5737,3.9383,2.1545,2.8749,2.2916,1.2304,2.6728,2.6723,2.6227,2.7639,2.9155,3.1518,2.1428,1.8738,3.5587,2.965,3.0384,1.9797
CC24_440a,Racial & Gender,likert5_dist,% Strongly Agree,White people have certain advantages because of their race,29.03,6.85,40.08,32.29,9.43,16.06,56.4,10.3212,21.654,17.5348,37.4968,24.1562,28.07,48.24,22.003,36.185,21.9181,17.8631,7.6498,3.9149,40.264,23.2225,36.23,79.733,25.1032,25.5034,25.0227,22.5125,22.003,14.941,35.4942,42.12,7.3499,19.01,16.616,39.055
CC24_440a,Racial & Gender,likert5_dist,% Agree,White people have certain advantages because of their race,22.83,15.33,39.13,28.24,12.14,25.74,32.34,19.2535,25.9329,20.7522,35.5189,27.725,32.435,35.735,20.995,33.685,22.9766,18.0793,14.3411,9.3618,29.7,24.2855,29.04,18.366,26.5211,26.2285,28.3273,26.2918,20.995,20.5053,32.7193,38.2812,14.7119,21.1634,22.988,36.772
CC24_440a,Racial & Gender,likert5_dist,% Neither,White people have certain advantages because of their race,18.04,26.64,13.42,24.58,22.3,23.84,7.43,25.5847,20.7505,25.7748,17.1207,19.755,18.63,10.425,23.554,19.0,25.4199,23.1411,25.2946,21.7841,13.994,18.304,15.635,1.337,20.9167,20.5397,21.18,21.6337,23.554,24.0204,19.9897,12.6712,25.7991,25.3455,22.9051,15.4319
CC24_440a,Racial & Gender,likert5_dist,% Disagree,White people have certain advantages because of their race,10.27,19.96,4.28,6.54,14.97,13.13,1.89,17.3858,12.9746,14.3236,5.0294,11.7939,8.705,3.085,10.3335,5.41,12.0113,11.8602,18.4131,18.833,6.386,10.1595,7.51,0.274,10.9124,10.9966,10.3027,11.4182,10.3335,15.4937,5.6104,3.9812,18.9932,13.2732,14.9197,4.6506
CC24_440a,Racial & Gender,likert5_dist,% Strongly Disagree,White people have certain advantages because of their race,19.83,31.22,3.1,8.34,41.16,21.22,1.94,27.451,18.6925,21.6104,4.8376,16.5751,12.16,2.52,23.109,5.72,17.6682,29.0527,34.3014,46.1013,9.652,24.033,11.58,0.297,16.5472,16.7324,15.1655,18.1424,23.109,25.0393,6.1847,2.955,33.1459,21.2031,22.572,4.0963
CC24_440b,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)","Racial problems in the U.S. are rare, isolated situations",3.4832,2.9101,4.0527,3.612,2.7983,3.1414,4.3917,2.9973,3.4191,3.2049,3.9066,3.5052,3.597,4.2222,3.2458,3.8323,3.3258,3.0985,2.8754,2.4566,3.8916,3.3628,3.7666,4.7718,3.4774,3.4835,3.472,3.384,3.2458,3.148,3.7933,4.0951,2.8884,3.2319,3.231,3.9765
CC24_440b,Racial & Gender,likert5_dist,% Strongly Agree,"Racial problems in the U.S. are rare, isolated situations",9.59,12.13,1.69,6.26,17.72,10.07,0.14,11.3536,7.479,9.6646,3.2054,6.6928,5.88,0.915,11.417,3.975,8.6532,13.4924,13.8629,24.478,4.112,10.5065,5.105,0.0,7.3777,7.3763,7.2075,8.2567,11.417,10.3836,4.3802,1.4962,13.2131,9.7881,9.2068,2.5421
